Baseline					
 	sim_total_insn	sim_IPC	ifq_occupancy	ruu_occupancy	lsq_occupancy
BZIP2	2500000	0.2313	0.899	1.6894	1.0782
MCF	2500000	0.3358	0.65	1.1265	0.5819
HMMR	2500000	0.4151	0.8248	1.4219	0.5253
SJENG	2500000	0.3575	0.8823	1.5875	1.0032
MILC	2500000	0.3929	0.8701	1.4686	0.8431
EQAKE	2500000	0.2856	0.5744	1.0651	0.4443
					
Second Run	"2-way, static superscalar datapath"				
 	sim_total_insn	sim_IPC	ifq_occupancy	ruu_occupancy	lsq_occupancy
BZIP2	2500001	0.3283	1.7639	3.5543	2.054
MCF	2500000	0.3851	1.2257	1.3353	0.6735
HMMR	2500000	0.5444	1.5452	1.9179	0.6856
SJENG	2500001	0.4291	1.7211	2.2208	1.452
MILC	2500000	0.4553	1.7062	2.0181	0.9915
EQAKE	2500000	0.3411	1.0367	1.314	0.5313
					
Third Run	"2-way, dynamic superscalar datapath"				
 	sim_total_insn	sim_IPC	ifq_occupancy	ruu_occupancy	lsq_occupancy
BZIP2	3010491	0.3479	1.6514	4.5992	2.5487
MCF	3592664	0.4808	0.9843	2.5342	1.1264
HMMR	3563185	0.7205	1.3986	3.5731	1.2921
SJENG	3594683	0.5482	1.6447	3.6858	2.134
MILC	3620784	0.627	1.5938	4.1499	1.7857
EQAKE	3351628	0.4092	0.8156	2.5578	0.9103
					
Fourth Run	"4-way, dynamic superscalar datapath"				
 	sim_total_insn	sim_IPC	ifq_occupancy	ruu_occupancy	lsq_occupancy
BZIP2	3956133	0.3597	3.1594	5.769	2.9723
MCF	4179167	0.5375	1.6781	3.0427	1.2716
HMMR	5400667	0.7951	2.6718	5.7772	1.7031
SJENG	4605584	0.5932	3.2318	4.5153	2.4648
MILC	4013065	0.7348	3.0445	5.7532	1.9979
EQAKE	4040701	0.4434	1.3882	3.4118	1.1886
